,Epitope IRI,Object Type,Description,Epitope Modified Residue(s),Epitope Modification(s),Starting Position,Ending Position,Non-peptidic epitope IRI,Epitope Synonyms,Antigen Name,Antigen IRI,Parent Protein,Parent Protein IRI,Organism Name,Organism IRI,Parent Organism,Parent Organism IRI,Epitope Comments,Epitope Relationship,Object Type.1,Description.1,Starting Position.1,Ending Position.1,Non-peptidic object IRI,Synonyms,Antigen Name.1,Antigen IRI.1,Parent Protein.1,Parent Protein IRI.1,Organism Name.1,Organism IRI.1,Parent Organism.1,Parent Organism IRI.1,link_url_41
11,115005,Non-peptidic,alpha-L-Fucp-(1->3)-[alpha-D-Manp-(1->6)-[beta-D-Xylp-(1->2)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)]-D-GlcpNAc,,,,,http://purl.obolibrary.org/obo/CHEBI_53469,"alpha-L-fucopyranosyl-(1->3)-[alpha-D-mannopyranosyl-(1->6)-[beta-D-xylopyranosyl-(1->2)]-beta-D-mannopyranosyl-(1->4)-2-acetamido-2-deoxy-beta-D-glucopyranosyl-(1->4)]-2-acetamido-2-deoxy-D-glucopyranose, alpha-L-Fuc-(1->3)-[alpha-D-Man-(1->6)-[beta-D-Xyl-(1->2)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)]-D-GlcNAc, alpha-L-fucosyl-(1->3)-[alpha-D-mannosyl-(1->6)-[beta-D-xylosyl-(1->2)]-beta-D-mannosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)]-N-acetyl-D-glucosamine, carbohydrate moiety of bromelain, Fuc-alpha-(1->3)-[Man-alpha-(1->6)-[Xyl-beta-(1->2)]-Man-beta-(1->4)-GlcNAc-beta-(1->4)]-GlcNAc, M0XF(3), MUXF, WURCS=2.0/6,6,5/[a2122h-1x_1-5_2*NCC/3=O][a1221m-1a_1-5][a2122h-1b_1-5_2*NCC/3=O][a1122h-1b_1-5][a212h-1b_1-5][a1122h-1a_1-5]/1-2-3-4-5-6/a3-b1_a4-c1_c4-d1_d2-e1_d6-f1, MUXF",,,,,Ananas comosus,http://purl.obolibrary.org/obo/NCBITaxon_4615,Ananas comosus,http://purl.obolibrary.org/obo/NCBITaxon_4615,,,,,,,,,,,,,,,,,G64799PD 
12,115013,Non-peptidic,alpha-D-galactosyl-(1->3)-D-galactose,,,,,http://purl.obolibrary.org/obo/CHEBI_53651,"alpha-D-galactopyranosyl-(1->3)-D-galactose, (Gal)2, 3-O-alpha-D-galactopyranosyl-D-galactopyranose, 3-O-alpha-D-Galactopyranosyl-D-galactose, alpha-D-Gal-(1->3)-D-Gal, alpha-D-galactosyl-(1->3)-D-galactose, alpha-D-Galp-(1->3)-D-Galp, alpha-Gal, alpha1,3Gal, Bdi, Bdi-epitope, dialphaGal, Gal(alpha1-3)Gal, Gal-alpha(1,3)Gal, Gal-alpha1,3-Gal, galactose-alpha-(1,3)-galactose, galactose-alpha-1,3-galactose, Galalpha,3Gal, Galalpha1,3Gal, Galalpha1-3Gal, human blood group type B linear epitope, WURCS=2.0/2,2,1/[a2112h-1x_1-5][a2112h-1a_1-5]/1-2/a3-b1, alpha-gal",glycoinositol phospholipid,http://purl.obolibrary.org/obo/CHEBI_59682,,,Leishmania major,http://purl.obolibrary.org/obo/NCBITaxon_5664,Leishmania major,http://purl.obolibrary.org/obo/NCBITaxon_5664,,,,,,,,,,,,,,,,,G78260AJ 
13,115015,Non-peptidic,alpha-D-fucose,,,,,http://purl.obolibrary.org/obo/CHEBI_42564,"6-deoxy-alpha-D-galactopyranose, alpha-D-fucopyranose, alpha-D-Fuc, ALPHA-D-FUCOSE, alpha-D-Fucp, WURCS=2.0/1,1,0/[a2112m-1a_1-5]/1/",alpha-L-Fucp-(1->3)-[alpha-D-Manp-(1->6)-[beta-D-Xylp-(1->2)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)]-D-GlcpNAc,http://purl.obolibrary.org/obo/CHEBI_53469,,,Ananas comosus,http://purl.obolibrary.org/obo/NCBITaxon_4615,Ananas comosus,http://purl.obolibrary.org/obo/NCBITaxon_4615,,,,,,,,,,,,,,,,,G28403NS 
14,115136,Non-peptidic,D-glucopyranuronic acid,,,,,http://purl.obolibrary.org/obo/CHEBI_47952,"D-glucopyranuronic acid, D-glucuronic acid, Glucuronate, Glucuronic acid, GlcA",,,,,Cutaneotrichosporon cutaneum,http://purl.obolibrary.org/obo/NCBITaxon_5554,Cutaneotrichosporon cutaneum,http://purl.obolibrary.org/obo/NCBITaxon_5554,,,,,,,,,,,,,,,,,G33059TI 
15,116644,Non-peptidic,alpha-L-Fucp-(1->3)-[alpha-D-Manp-(1->3)-[alpha-D-Manp-(1->6)]-[beta-D-Xylp-(1->2)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)]-D-GlcpNAc,,,,,http://purl.obolibrary.org/obo/CHEBI_53467,"6-deoxy-alpha-L-galactopyranosyl-(1->3)-[alpha-D-mannopyranosyl-(1->3)-[alpha-D-mannopyranosyl-(1->6)]-[beta-D-xylopyranosyl-(1->2)]-beta-D-mannopyranosyl-(1->4)-2-acetamido-2-deoxy-beta-D-glucopyranosyl-(1->4)]-2-acetamido-2-deoxy-D-glucopyranose, (Manalpha1-3)(Manalpha1-6Xylbeta1-2)Manbeta1-4(Fucalpha1-3)GlcNAcbeta1-4GlcNAc, alpha-L-Fuc-(1->3)-[alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-[beta-D-Xyl-(1->2)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)]-D-GlcNAc, beta-D-Xyl-(1->2)-[alpha-D-Man-(1->6)]-[alpha-D-Man-(1->3)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-[alpha-L-Fuc-(1->3)]-D-GlcNAc, beta-D-Xylp-(1->2)-[alpha-D-Manp-(1->6)]-[alpha-D-Manp-(1->3)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)-[alpha-L-Fucp-(1->3)]-D-GlcpNAc, MMXF, MMXF(3), WURCS=2.0/6,7,6/[a2122h-1x_1-5_2*NCC/3=O][a1221m-1a_1-5][a2122h-1b_1-5_2*NCC/3=O][a1122h-1b_1-5][a212h-1b_1-5][a1122h-1a_1-5]/1-2-3-4-5-6-6/a3-b1_a4-c1_c4-d1_d2-e1_d3-f1_d6-g1, Xylbeta1->2(Manalpha1->6)(Manalpha1->3)Manbeta1->4GlcNAcbeta1->4(Fucalpha1->3)GlcNAc",putative allergen Cup a 1 glycoprotein,https://ontology.iedb.org/ontology/ONTIE_0002137,Cup a 1,http://www.uniprot.org/uniprot/Q9SCG9,Hesperocyparis arizonica,http://purl.obolibrary.org/obo/NCBITaxon_49011,Hesperocyparis arizonica,http://purl.obolibrary.org/obo/NCBITaxon_49011,The epitope was deduced.,,,,,,,,,,,,,,,,G47379VH 
16,116872,Non-peptidic,(+)-catechin,,,,,http://purl.obolibrary.org/obo/CHEBI_15600,"(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-1H-chromene-3,5,7-triol, (+)-(2R,3S)-5,7,3',4'-Tetrahydroxyflavan-3-ol, (+)-3',4',5,7-Tetrahydroxy-2,3-trans-flavan-3-ol, (+)-Catechin, (+)-Catechol, (+)-Cyanidan-3-ol, (2R,3S)-(+)-Catechin, (2R,3S)-2-(3,4-dihydroxyphenyl)chromane-3,5,7-triol, (2R,3S)-Catechin, (2R,3S)-catechin, (2R-trans)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-1-Benzopyran-3,5,7-triol, catechuic acid, Cianidanol, Cyanidanol, D-Catechin",,,,,,,,,,,,,,,,,,,,,,,,,G67369RN 
17,116875,Non-peptidic,agatharesinol,,,,,http://purl.obolibrary.org/obo/CHEBI_53627,"(2S,3S,4E)-3,5-bis(4-hydroxyphenyl)pent-4-ene-1,2-diol, ",,,,,Cryptomeria japonica,http://purl.obolibrary.org/obo/NCBITaxon_3369,Cryptomeria japonica,http://purl.obolibrary.org/obo/NCBITaxon_3369,,,,,,,,,,,,,,,,,G27883LW 
18,116876,Non-peptidic,sequirin C,,,,,http://purl.obolibrary.org/obo/CHEBI_53644,"4-[(1S,2E)-1-[(1S)-1,2-dihydroxyethyl]-3-(4-hydroxyphenyl)prop-2-en-1-yl]benzene-1,2-diol, sequirin-C",,,,,Cryptomeria japonica,http://purl.obolibrary.org/obo/NCBITaxon_3369,Cryptomeria japonica,http://purl.obolibrary.org/obo/NCBITaxon_3369,,,,,,,,,,,,,,,,,G36858YQ 
19,116877,Non-peptidic,sugiresinol,,,,,http://purl.obolibrary.org/obo/CHEBI_53645,"(1R)-1,5-anhydro-2,3-dideoxy-1,3-bis(4-hydroxyphenyl)-D-threo-pentitol, (-)-sugiresinol, (3S)-tetrahydro-4alpha,6alpha-bis(4-hydroxyphenyl)-2H-pyran-3-ol, sequirin A, sequirin-A",,,,,Cryptomeria japonica,http://purl.obolibrary.org/obo/NCBITaxon_3369,Cryptomeria japonica,http://purl.obolibrary.org/obo/NCBITaxon_3369,,,,,,,,,,,,,,,,,G56626CM 
20,116878,Non-peptidic,hydroxysugiresinol,,,,,http://purl.obolibrary.org/obo/CHEBI_53646,"(1R)-1,5-anhydro-2,3-dideoxy-3-(3,4-dihydroxyphenyl)-1-(4-hydroxyphenyl)-D-threo-pentitol, 4-[(2R)-3,4,5,6-tetrahydro-5alpha-hydroxy-2-(4-hydroxyphenyl)-2H-pyran-4beta-yl]-1,2-benzenediol, sequirin B, sequirin-B",,,,,Cryptomeria japonica,http://purl.obolibrary.org/obo/NCBITaxon_3369,Cryptomeria japonica,http://purl.obolibrary.org/obo/NCBITaxon_3369,,,,,,,,,,,,,,,,,G22889AU 
21,116881,Non-peptidic,guaiacylglycerol-beta-guaiacyl ether,,,,,http://purl.obolibrary.org/obo/CHEBI_53650,"1-(4-hydroxy-3-methoxyphenyl)-2-(2-methoxyphenoxy)propane-1,3-diol, 1-[4-hydroxy-3-(methyloxy)phenyl]-2-{[2-(methyloxy)phenyl]oxy}propane-1,3-diol, 1-(3-Methoxy-4-hydroxyphenyl)-2-(2-methoxyphenoxy)-1,3-propanediol, 1-(4-Hydroxy-3-methoxyphenyl)-2-(2-methoxyphenoxy)-1,3-propanediol, 1-(4-hydroxy-3-methoxyphenyl)-2-(2-methoxyphenoxy)propane-1,3-diol, 2-(2-Methoxyphenoxy)-3-(3-methoxy-4-hydroxyphenyl)propane-1,3-diol, 2-Methoxy-4-[1,3-dihydroxy-2-(2-methoxyphenoxy)propyl]phenol, GGBGE, GGGE, Guaiacylglycerol-beta-O-4-guaiacyl ether",,,,,Cryptomeria japonica,http://purl.obolibrary.org/obo/NCBITaxon_3369,Cryptomeria japonica,http://purl.obolibrary.org/obo/NCBITaxon_3369,,,,,,,,,,,,,,,,,G46598NX 
22,116885,Non-peptidic,beta-D-GlcpA-(1->3)-alpha-D-GalpA-(1->2)-L-Rhap,,,,,http://purl.obolibrary.org/obo/CHEBI_53690,"beta-D-glucopyranuronosyl-(1->3)-alpha-D-galactopyranuronosyl-(1->2)-6-deoxy-L-mannopyranose, beta-D-GlcA-(1->3)-alpha-D-GalA-(1->2)-L-Rha, beta-D-glucuronosyl-(1->3)-alpha-D-galacturonosyl-(1->2)-6-deoxy-L-mannose, beta-D-glucuronosyl-(1->3)-alpha-D-galacturonosyl-(1->2)-L-rhamnose, O-beta-(D-glucopyranosyluronic acid)-(1->3)-O-alpha-(D-galactopyranosyluronic acid)-(1->2)-L-rhamnopyranose",arabinogalactan,http://purl.obolibrary.org/obo/CHEBI_27569,,,Beta vulgaris,http://purl.obolibrary.org/obo/NCBITaxon_161934,Beta vulgaris,http://purl.obolibrary.org/obo/NCBITaxon_161934,,,,,,,,,,,,,,,,,G28716NJ 
23,116886,Non-peptidic,beta-(1->4)-galactotetraose,,,,,http://purl.obolibrary.org/obo/CHEBI_53687,"beta-D-galactopyranosyl-(1->4)-beta-D-galactopyranosyl-(1->4)-beta-D-galactopyranosyl-(1->4)-beta-D-galactopyranose, beta-D-Gal-(1->4)-beta-D-Gal-(1->4)-beta-D-Gal-(1->4)-beta-D-Gal, beta-D-galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-galactose, beta-D-Galp-(1->4)-beta-D-Galp-(1->4)-beta-D-Galp-(1->4)-beta-D-Galp, tetragalactose",arabinogalactan,http://purl.obolibrary.org/obo/CHEBI_27569,,,Beta vulgaris,http://purl.obolibrary.org/obo/NCBITaxon_161934,Beta vulgaris,http://purl.obolibrary.org/obo/NCBITaxon_161934,,,,,,,,,,,,,,,,,G62513AX 
24,116887,Non-peptidic,methyl beta-D-glucuronoside,,,,,http://purl.obolibrary.org/obo/CHEBI_53688,"methyl beta-D-glucuronoside, methyl beta-D-glucopyranosiduronic acid, Methyl beta-glucuronide, Methyl-beta-D-glucopyranosiduronic acid, Methylglucopyranosiduronic acid, O(1)-methyl-beta-D-glucopyranuronic acid",arabinogalactan,http://purl.obolibrary.org/obo/CHEBI_27569,,,Beta vulgaris,http://purl.obolibrary.org/obo/NCBITaxon_161934,Beta vulgaris,http://purl.obolibrary.org/obo/NCBITaxon_161934,,,,,,,,,,,,,,,,,G93723GS 
25,117130,Non-peptidic,clavulanic acid,,,,,http://purl.obolibrary.org/obo/CHEBI_48947,"(2R,3Z,5R)-3-(2-hydroxyethylidene)-7-oxo-4-oxa-1-azabicyclo[3.2.0]heptane-2-carboxylic acid, (2R,3Z,5R)-3-(2-HYDROXYETHYLIDENE)-7-OXO-4-OXA-1-AZABICYCLO[3.2.0]HEPTANE-2-CARBOXYLIC ACID, (Z)-(2R,5R)-3-(2-Hydroxyethylidene)-7-oxo-4-oxa-1-azabicyclo(3.2.0)heptane-2-carboxylic acid, acide clavulanique, acido clavulanico, acidum clavulanicum, antibiotic MM 14151, Clavulanate, clavulanic acid, Clavulanic acid, Clavulansaeure, clavulonic acid, MM 14151",,,,,,,,,,,,,,,,,,,,,,,,,G82624IQ 
26,117424,Non-peptidic,6-O-{5-hydroxy-4-oxo-3-[2-(sulfooxy)phenyl]-4H-chromen-6-yl}-L-gulonate,,,,,http://purl.obolibrary.org/obo/CHEBI_55447,"6-O-{5-hydroxy-4-oxo-3-[2-(sulfooxy)phenyl]-4H-chromen-6-yl}-L-gulonate, PjCHO, PjCHO anion",,,,,Parietaria judaica,http://purl.obolibrary.org/obo/NCBITaxon_33127,Parietaria judaica,http://purl.obolibrary.org/obo/NCBITaxon_33127,,,,,,,,,,,,,,,,,G83584AE 
27,117702,Non-peptidic,alpha-L-Fucp-(1->4)-[alpha-D-Galp-(1->3)]-beta-D-GlcpNAc-(1->3)-beta-D-Galp-(1->4)-alpha-D-Glcp,,,,,http://purl.obolibrary.org/obo/CHEBI_53549,"alpha-L-fucopyranosyl-(1->4)-[alpha-D-galactopyranosyl-(1->3)]-2-acetamido-2-deoxy-beta-D-glucopyranosyl-(1->3)-beta-D-galactopyranosyl-(1->4)-alpha-D-glucopyranose, 6-deoxy-alpha-L-galactopyranosyl-(1->4)-[alpha-D-galactopyranosyl-(1->3)]-2-acetamido-2-deoxy-beta-D-glucopyranosyl-(1->3)-beta-D-galactopyranosyl-(1->4)-alpha-D-glucopyranose, alpha-L-Fuc-(1->4)-[alpha-D-Gal-(1->3)]-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-alpha-D-Glc, alpha-L-fucosyl-(1->4)-[alpha-D-galactosyl-(1->3)]-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-alpha-D-glucose",,,,,,,,,,,,,,,,,,,,,,,,,G96044KA 
28,117714,Non-peptidic,triolein,,,,,http://purl.obolibrary.org/obo/CHEBI_53753,"propane-1,2,3-triyl tris[(9Z)-octadec-9-enoate], (Z)-9-Octadecenoic acid, 1,2,3-propanetriyl ester, 1,2,3-tri-(9Z-octadecenoyl)-glycerol, Glycerin trioleate, Glycerol trioleate, Glycerol triolein, Glycerol, tri(cis-9-octadecenoate), Glyceryl trioleate, Glyceryl-1,2,3-trioleate, Oleic acid triglyceride, Oleic triglyceride, Olein, Oleyl triglyceride, propane-1,2,3-triyl (9Z,9'Z,9''Z)tris-octadec-9-enoate, TG(18:1(9Z)/18:1(9Z)/18:1(9Z))[iso], Trioleoylglyceride, Trioleoylglycerol",,,,,,,,,,,,,,,,,,,,,,,,,G23187IJ 
29,117715,Non-peptidic,beta-D-Galp-(1->3)-beta-D-GlcpNAc-(1->3)-beta-D-Galp-(1->4)-beta-D-Glcp,,,,,http://purl.obolibrary.org/obo/CHEBI_53481,"beta-D-galactopyranosyl-(1->3)-2-acetamido-2-deoxy-beta-D-glucopyranosyl-(1->3)-beta-D-galactopyranosyl-(1->4)-beta-D-glucopyranose, beta-D-Gal-(1->3)-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-Glc, beta-D-galactosyl-(1->3)-N-acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucose, Galb1-3GlcNAcb1-3Galb1-4Glcb, Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta, WURCS=2.0/3,4,3/[a2122h-1b_1-5][a2112h-1b_1-5][a2122h-1b_1-5_2*NCC/3=O]/1-2-3-2/a4-b1_b3-c1_c3-d1",,,,,,,,,,,,,,,,,,,,,,,,,G00049MO 
30,118701,Non-peptidic,N-acetyl-D-galactosaminitol,,,,,http://purl.obolibrary.org/obo/CHEBI_53480,"2-acetamido-2-deoxy-D-galactitol, GalNAc-ol, HPG-Beta2-N1, N-Acetylgalactosaminitol, WURCS=2.0/1,1,0/[h2112h_2*NCC/3=O]/1/",H antigen glycoprotein,https://ontology.iedb.org/ontology/ONTIE_0002135,,,Styela plicata,http://purl.obolibrary.org/obo/NCBITaxon_7726,Styela plicata,http://purl.obolibrary.org/obo/NCBITaxon_7726,,,,,,,,,,,,,,,,,G61406KC 
31,118702,Non-peptidic,2-O-(N-acetyl-alpha-D-galactosaminyl)-L-fucitol,,,,,http://purl.obolibrary.org/obo/CHEBI_53482,"2-O-(2-acetamido-2-deoxy-alpha-D-galactopyranosyl)-L-fucitol, 2-acetamido-2-deoxy-alpha-D-galactopyranosyl-(1->2)-L-fucitol, 2-acetamido-2-deoxy-alpha-D-galactopyranosyl-(1->2)-1-deoxy-L-galactitol, HPG-Beta2-N2",H antigen glycoprotein,https://ontology.iedb.org/ontology/ONTIE_0002135,,,Styela plicata,http://purl.obolibrary.org/obo/NCBITaxon_7726,Styela plicata,http://purl.obolibrary.org/obo/NCBITaxon_7726,,,,,,,,,,,,,,,,,G63819MN 
32,118703,Non-peptidic,3-O-(N-acetyl-D-glucosaminyl)-N-acetyl-D-galactosaminitol,,,,,http://purl.obolibrary.org/obo/CHEBI_53484,"2-acetamido-2-deoxy-D-glucopyranosyl-(1->3)-2-acetamido-2-deoxy-D-galactitol, 2-acetamido-3-O-(2-acetamido-2-deoxy-D-glucopyranosyl)-2-deoxy-D-galactitol, HPG-Beta2-N3, WURCS=2.0/2,2,1/[h2112h_2*NCC/3=O][a2122h-1x_1-5_2*NCC/3=O]/1-2/a3-b1",H antigen glycoprotein,https://ontology.iedb.org/ontology/ONTIE_0002135,,,Styela plicata,http://purl.obolibrary.org/obo/NCBITaxon_7726,Styela plicata,http://purl.obolibrary.org/obo/NCBITaxon_7726,,,,,,,,,,,,,,,,,G74724PV 
33,118704,Non-peptidic,N-acetyl-D-galactosaminyl-(1->4)-(N-acetyl-D-galactosaminyl)-(1->3)-N-acetyl-D-galactosaminitol,,,,,http://purl.obolibrary.org/obo/CHEBI_53485,"2-acetamido-2-deoxy-D-galactopyranosyl-(1->4)-2-acetamido-2-deoxy-D-glucopyranosyl-(1->3)-2-acetamido-2-deoxy-D-galactitol, D-GalNAc-(1->4)-D-GlcNAc-(1->3)-D-GalNAc-ol, D-GalpNAc-(1->4)-D-GlcpNAc-(1->3)-D-GalNAc-ol, HPG-Beta2-N4a",H antigen glycoprotein,https://ontology.iedb.org/ontology/ONTIE_0002135,,,Styela plicata,http://purl.obolibrary.org/obo/NCBITaxon_7726,Styela plicata,http://purl.obolibrary.org/obo/NCBITaxon_7726,,,,,,,,,,,,,,,,,G39326NV 
34,118705,Non-peptidic,D-GalNAc-(1->3)-[D-GalNAc-(1->4)]-D-GalNAc-(1->3)-D-GalNAc-ol,,,,,http://purl.obolibrary.org/obo/CHEBI_53489,"2-acetamido-2-deoxy-D-galactopyranosyl-(1->3)-[2-acetamido-2-deoxy-D-galactopyranosyl-(1->4)]-2-acetamido-2-deoxy-D-glucopyranosyl-(1->3)-2-acetamido-2-deoxy-D-galactitol, HPG-Beta2-N4b",H antigen glycoprotein,https://ontology.iedb.org/ontology/ONTIE_0002135,,,Styela plicata,http://purl.obolibrary.org/obo/NCBITaxon_7726,Styela plicata,http://purl.obolibrary.org/obo/NCBITaxon_7726,,,,,,,,,,,,,,,,,G62939GO 
35,118706,Non-peptidic,D-GalNAc-(1->3)-[D-GalNAc-(1->2)-L-Fuc-(1->4)]-D-GlcNAc-(1->3)-D-GalNAc-ol,,,,,http://purl.obolibrary.org/obo/CHEBI_53494,"2-acetamido-2-deoxy-D-galactopyranosyl-(1->3)-[2-acetamido-2-deoxy-D-galactopyranosyl-(1->2)-L-fucopyranosyl-(1->4)]-2-acetamido-2-deoxy-D-glucopyranosyl-(1->3)-2-acetamido-2-deoxy-D-galactitol, D-GalpNAc-(1->3)-[D-GalpNAc-(1->2)-L-Fucp-(1->4)]-D-GlcpNAc-(1->3)-D-GalNAc-ol, HPG-Beta2-N5a",H antigen glycoprotein,https://ontology.iedb.org/ontology/ONTIE_0002135,,,Styela plicata,http://purl.obolibrary.org/obo/NCBITaxon_7726,Styela plicata,http://purl.obolibrary.org/obo/NCBITaxon_7726,,,,,,,,,,,,,,,,,G79573XO 
